"timestamp","ram_used_mb","ram_total_mb","ram_used_percent","unreal_running","shader_worker_running","sidecar_health_ok"
"2026-04-03T21:18:57","9131.16","16105.3","56.7","False","False","True"
"2026-04-03T21:19:03","9132.18","16105.3","56.7","False","False","True"
"2026-04-03T21:19:08","9125.14","16105.3","56.66","False","False","True"
"2026-04-03T21:19:13","9110.5","16105.3","56.57","False","False","True"
"2026-04-03T21:19:19","9130.14","16105.3","56.69","False","False","True"
"2026-04-03T21:19:24","9063.03","16105.3","56.27","False","False","True"
"2026-04-03T21:19:29","9137.06","16105.3","56.73","False","False","True"
"2026-04-03T21:19:34","9136.1","16105.3","56.73","False","False","True"
"2026-04-03T21:19:40","9168.09","16105.3","56.93","False","False","True"
"2026-04-03T21:19:45","9163.88","16105.3","56.9","False","False","True"
"2026-04-03T21:19:50","9143.68","16105.3","56.77","False","False","True"
"2026-04-03T21:19:55","9128.91","16105.3","56.68","False","False","True"
"2026-04-03T21:20:01","9033.39","16105.3","56.09","False","False","True"
"2026-04-03T21:20:06","9130.98","16105.3","56.7","False","False","True"
"2026-04-03T21:20:11","9163.37","16105.3","56.9","False","False","True"
"2026-04-03T21:20:16","9155.64","16105.3","56.85","False","False","True"
"2026-04-03T21:20:22","9186.42","16105.3","57.04","False","False","True"
"2026-04-03T21:20:27","9176.77","16105.3","56.98","False","False","True"
"2026-04-03T21:20:32","9055.07","16105.3","56.22","False","False","True"
"2026-04-03T21:20:37","9047.09","16105.3","56.17","False","False","True"
"2026-04-03T21:20:43","9030.28","16105.3","56.07","False","False","True"
"2026-04-03T21:20:48","9025.81","16105.3","56.04","False","False","True"
"2026-04-03T21:20:53","9024.51","16105.3","56.03","False","False","True"
"2026-04-03T21:20:58","9056.68","16105.3","56.23","False","False","True"
"2026-04-03T21:21:04","8994.91","16105.3","55.85","False","False","True"
"2026-04-03T21:21:09","9001.87","16105.3","55.89","False","False","True"
"2026-04-03T21:21:14","8997.47","16105.3","55.87","False","False","True"
"2026-04-03T21:21:19","9059.51","16105.3","56.25","False","False","True"
"2026-04-03T21:21:25","9047.14","16105.3","56.17","False","False","True"
"2026-04-03T21:21:30","9061.04","16105.3","56.26","False","False","True"
"2026-04-03T21:21:35","9154.14","16105.3","56.84","False","False","True"
