"timestamp","ram_used_mb","ram_total_mb","ram_used_percent","unreal_running","shader_worker_running","sidecar_health_ok"
"2026-04-03T12:03:25","10571.37","16105.3","65.64","False","False","True"
"2026-04-03T12:03:27","10585.33","16105.3","65.73","False","False","True"
"2026-04-03T12:03:30","10572.02","16105.3","65.64","False","False","True"
"2026-04-03T12:03:32","10556.79","16105.3","65.55","False","False","True"
"2026-04-03T12:03:34","10557.21","16105.3","65.55","False","False","True"
"2026-04-03T12:03:36","10485.25","16105.3","65.1","False","False","True"
"2026-04-03T12:03:39","10556.71","16105.3","65.55","False","False","True"
"2026-04-03T12:03:41","10664.3","16105.3","66.22","False","False","True"
"2026-04-03T12:03:43","10681.1","16105.3","66.32","False","False","True"
"2026-04-03T12:03:46","10685.1","16105.3","66.35","False","False","True"
"2026-04-03T12:03:48","10681.82","16105.3","66.32","False","False","True"
"2026-04-03T12:03:50","10672.1","16105.3","66.26","False","False","True"
"2026-04-03T12:03:52","10670.05","16105.3","66.25","False","False","True"
"2026-04-03T12:03:55","10573.76","16105.3","65.65","False","False","True"
"2026-04-03T12:03:57","10572.39","16105.3","65.65","False","False","True"
"2026-04-03T12:03:59","10564.03","16105.3","65.59","False","False","True"
"2026-04-03T12:04:02","10547.04","16105.3","65.49","False","False","True"
"2026-04-03T12:04:04","10501.28","16105.3","65.2","False","False","True"
"2026-04-03T12:04:06","10499.8","16105.3","65.19","False","False","True"
"2026-04-03T12:04:09","10491.85","16105.3","65.15","False","False","True"
"2026-04-03T12:04:11","10506.59","16105.3","65.24","False","False","True"
"2026-04-03T12:04:13","10506.47","16105.3","65.24","False","False","True"
"2026-04-03T12:04:15","10520.74","16105.3","65.32","False","False","True"
"2026-04-03T12:04:18","10563.53","16105.3","65.59","False","False","True"
"2026-04-03T12:04:20","10542.99","16105.3","65.46","False","False","True"
"2026-04-03T12:04:22","10539.43","16105.3","65.44","False","False","True"
"2026-04-03T12:04:25","10539.71","16105.3","65.44","False","False","True"
